faculty,date,start_time,duration_min,subject,instructor,room,group,type,status
"AwP4.0s1","2026-02-25","16:15","90","HMI i SCADA w Przemyśle 4.0","mgr inż. M. Worwa","WA2","L1","laboratoria","aktywne"
"AwP4.0s1","2026-02-25","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","A1","W","wykład","aktywne"
"AwP4.0s1","2026-02-26","09:15","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","201","Lk1 / P1","laboratoria","aktywne"
"AwP4.0s1","2026-02-26","11:00","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","A4","W","wykład","aktywne"
"AwP4.0s1","2026-02-26","12:45","90","Język angielski","mgr J. Firganek","139SJO","Lek1","laboratoria","aktywne"
"AwP4.0s1","2026-02-26","16:15","90","HMI i SCADA w Przemyśle 4.0","prof. R. Sałat","WA2","W","wykład","aktywne"
"AwP4.0s1","2026-02-26","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","201","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-02-27","11:00","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","101B","L1","laboratoria","aktywne"
"AwP4.0s1","2026-02-27","12:45","90","Systemy operacyjne czasu rzeczywistego","dr inż. K. Suchenia","101B","L2","laboratoria","aktywne"
"AwP4.0s1","2026-03-03","14:30","90","Komputerowe wspomaganie projektowania","prof. Ł. Ścisło","A4","W","wykład","aktywne"
"AwP4.0s1","2026-03-03","18:00","90","Komputerowe wspomaganie projektowania","prof. Ł. Ścisło","11","Lk1","laboratoria","aktywne"
"AwP4.0s1","2026-03-04","16:15","90","HMI i SCADA w Przemyśle 4.0","mgr inż. M. Worwa","WA2","L2","laboratoria","aktywne"
"AwP4.0s1","2026-03-04","18:00","90","Programowanie obiektowe","dr inż. R. Rucki","A1","W","wykład","aktywne"
"AwP4.0s1","2026-03-05","09:15","90","Zaawansowane metody identyfikacji układów automatyki","dr inż. M. Orkisz","201","Lk1 / P1","laboratoria","aktywne"
